"Key"	"Title"
"T001047"	"Totaal landen"
"L008793"	"Totaal westerse landen"
"L008795"	"Totaal niet-westerse landen"
"L008808"	"Internationaal gebied"
"L008809"	"Asielzoekerscentrum en onbekend"
"L008519"	"Afrika"
"L008520"	"Amerika"
"L008524"	"Azië"
"L008531"	"Oceanië"
"L008525"	"Europa"
"L008533"	"Afghanistan"
"L008534"	"Albanië"
"L008535"	"Algerije"
"L008536"	"Amerikaans-Samoa"
"L008537"	"Amerikaanse Maagdeneilanden"
"L008538"	"Andorra"
"L008539"	"Angola"
"L008540"	"Anguilla"
"L008532"	"Antarctica"
"L008541"	"Antigua en Barbuda"
"L008542"	"Argentinië"
"L008543"	"Armenië"
"L008544"	"Aruba"
"L008545"	"Australië"
"L008546"	"Azerbeidzjan"
"L008547"	"Bahama's"
"L006997"	"Bhutan"
"L008548"	"Bahrein"
"L008549"	"Bangladesh"
"L008550"	"Barbados"
"L008552"	"België"
"L008553"	"Belize"
"L008554"	"Benin"
"L008555"	"Bermuda"
"L008557"	"Bolivia"
"L008559"	"Bosnië-Herzegovina"
"L008560"	"Botswana"
"L008562"	"Brazilië"
"L008564"	"Brits Territorium in de Indische Oceaan"
"L008565"	"Britse Maagdeneilanden"
"L008566"	"Brunei"
"L008567"	"Bulgarije"
"L008568"	"Burkina Faso"
"L008569"	"Burundi"
"L008570"	"Cambodja"
"L008571"	"Canada"
"L008794"	"Caribisch Nederland"
"L008572"	"Caymaneilanden"
"L008573"	"Centraal-Afrikaanse Republiek"
"L008574"	"Chili"
"L008575"	"China"
"L008579"	"Colombia"
"L008580"	"Comoren"
"L008581"	"Congo"
"L008582"	"Congo (Democratische Republiek)"
"L008583"	"Cookeilanden"
"L008584"	"Costa Rica"
"L008585"	"Cuba"
"L008586"	"Curaçao"
"L008587"	"Cyprus"
"L008588"	"Denemarken"
"L008589"	"Djibouti"
"L008590"	"Dominica"
"L008591"	"Dominicaanse Republiek"
"L008592"	"Duitsland"
"L008593"	"Ecuador"
"L008594"	"Egypte"
"L008595"	"El Salvador"
"L008596"	"Equatoriaal-Guinea"
"L008597"	"Eritrea"
"L008598"	"Estland"
"L008599"	"Ethiopië"
"L008600"	"Faeröer-eilanden"
"L008601"	"Falklandeilanden"
"L007071"	"Federale Republiek Joegoslavië"
"L008602"	"Fiji"
"L008603"	"Filippijnen"
"L008604"	"Finland"
"L008605"	"Frankrijk"
"L008606"	"Frans Guyana"
"L008608"	"Frans-Polynesië"
"L008609"	"Gabon"
"L008610"	"Gambia"
"L008712"	"Gazastrook en Westelijke Jordaanoever "
"L008611"	"Georgië"
"L008612"	"Ghana"
"L008613"	"Gibraltar"
"L008614"	"Grenada"
"L008615"	"Griekenland"
"L008616"	"Groenland"
"L008617"	"Guadeloupe"
"L008618"	"Guam"
"L008619"	"Guatemala"
"L008621"	"Guinee"
"L008622"	"Guinee-Bissau"
"L008623"	"Guyana"
"L008624"	"Haïti"
"L008626"	"Honduras"
"L008627"	"Hongarije"
"L008628"	"HongKong"
"L008629"	"Ierland"
"L008630"	"IJsland"
"L008631"	"India"
"L008632"	"Indonesië"
"L008633"	"Irak"
"L008634"	"Iran"
"L008635"	"Israël"
"L008636"	"Italië"
"L008637"	"Ivoorkust"
"L008638"	"Jamaica"
"L008639"	"Japan"
"L008640"	"Jemen"
"L008643"	"Jordanië"
"L008644"	"Kaapverdië"
"L008645"	"Kameroen"
"L008646"	"Kanaaleilanden"
"L008647"	"Katar"
"L008648"	"Kazachstan"
"L008649"	"Kenia"
"L008650"	"Kirgizië"
"L008651"	"Kiribati"
"L008652"	"Koeweit"
"L008653"	"Kosovo"
"L008654"	"Kroatië"
"L008655"	"Laos"
"L008656"	"Lesotho"
"L008657"	"Letland"
"L008658"	"Libanon"
"L008659"	"Liberia"
"L008660"	"Libië"
"L008661"	"Liechtenstein"
"L008662"	"Litouwen"
"L008663"	"Luxemburg"
"L008664"	"Macau"
"L008665"	"Macedonië"
"L008666"	"Madagaskar"
"L008667"	"Malawi"
"L008668"	"Maldiven"
"L008669"	"Maleisië"
"L008670"	"Mali"
"L008671"	"Malta"
"L008672"	"Man"
"L008673"	"Marokko"
"L008675"	"Marshall-eilanden"
"L008676"	"Martinique"
"L008677"	"Mauritanië"
"L008678"	"Mauritius"
"L008679"	"Mayotte"
"L008680"	"Mexico"
"L008681"	"Micronesië"
"L008682"	"Moldavië"
"L008683"	"Monaco"
"L008684"	"Mongolië"
"L008685"	"Montenegro"
"L008686"	"Montserrat"
"L008687"	"Mozambique"
"L008688"	"Myanmar"
"L008689"	"Namibië"
"L008690"	"Nauru"
"L007128"	"Nederlandse Antillen (oud)"
"L008694"	"Nepal"
"L008695"	"Nicaragua"
"L008696"	"Nieuw-Caledonië"
"L008697"	"Nieuw-Zeeland"
"L008698"	"Niger"
"L008699"	"Nigeria"
"L008700"	"Niue"
"L008702"	"Noordelijke Marianen"
"L008703"	"Noord-Korea"
"L008704"	"Noorwegen"
"L008705"	"Norfolk"
"L008706"	"Oekraïne"
"L008707"	"Oezbekistan"
"L008708"	"Oman"
"L008709"	"Oostenrijk"
"L008710"	"Pakistan"
"L008711"	"Palau"
"L008713"	"Panama"
"L008714"	"Papoea-Nieuw-Guinea"
"L008715"	"Paraguay"
"L008716"	"Peru"
"L008717"	"Pitcairneilanden"
"L008718"	"Polen"
"L008719"	"Portugal"
"L008720"	"Puerto Rico"
"L008722"	"Réunion"
"L008723"	"Roemenië"
"L008724"	"Rusland"
"L008726"	"Rwanda"
"L008727"	"Saint Kitts en Nevis"
"L008728"	"Saint Pierre en Miquelon"
"L008729"	"Saint Vincent en de Grenadines"
"L008730"	"Salomonseilanden"
"L008731"	"Samoa"
"L008732"	"San Marino"
"L008733"	"Sao Tomé en Principe"
"L008734"	"Saoedi-Arabië"
"L008735"	"Senegal"
"L008736"	"Servië"
"L008737"	"Servië en Montenegro"
"L008738"	"Seychellen"
"L008739"	"Sierra Leone"
"L008740"	"Singapore"
"L008741"	"Sint-Helena"
"L008742"	"Saint Lucia"
"L008743"	"Sint Maarten (Nederlands deel)"
"L008744"	"Slovenië"
"L008745"	"Slowakije"
"L008746"	"Soedan"
"L008747"	"Somalië"
"L008749"	"Spanje"
"L008750"	"Sri Lanka"
"L008751"	"Suriname"
"L008752"	"Swaziland"
"L008753"	"Syrië"
"L008754"	"Tadzjikistan"
"L008755"	"Taiwan"
"L008756"	"Tanzania"
"L008757"	"Thailand"
"L008758"	"Timor Leste"
"L008759"	"Togo"
"L008760"	"Tokelau-eilanden"
"L008761"	"Tonga"
"L008762"	"Trinidad en Tobago"
"L008763"	"Tsjaad"
"L008764"	"Tsjechië"
"L008765"	"Tunesië"
"L008766"	"Turkije"
"L008767"	"Turkmenistan"
"L008768"	"Turks- en Caicoseilanden"
"L008769"	"Tuvalu"
"L008770"	"Uganda"
"L008771"	"Uruguay"
"L008772"	"Vanuatu"
"L008773"	"Vaticaanstad"
"L008774"	"Venezuela"
"L008776"	"Verenigd Koninkrijk"
"L008777"	"Verenigde Arabische Emiraten"
"L008778"	"Verenigde Staten van Amerika"
"L008779"	"Verre eilanden van de VS"
"L008780"	"Vietnam"
"L008782"	"Wallis en Futuna"
"L008783"	"Wit-Rusland"
"L008784"	"Zambia"
"L008785"	"Zimbabwe"
"L008787"	"Zuid-Afrika"
"L008789"	"Zuid-Korea"
