"ID";"Geslacht";"LandVanHerkomstVestiging";"Geboorteland";"Perioden";"Immigratie_1"
"25";"T001038";"T001047";"G008795";"1995JJ00";"   65231"
"26";"T001038";"T001047";"G008795";"1996JJ00";"   74977"
"27";"T001038";"T001047";"G008795";"1997JJ00";"   75124"
"28";"T001038";"T001047";"G008795";"1998JJ00";"   82892"
"29";"T001038";"T001047";"G008795";"1999JJ00";"   81071"
"30";"T001038";"T001047";"G008795";"2000JJ00";"   94638"
"31";"T001038";"T001047";"G008795";"2001JJ00";"   96054"
"32";"T001038";"T001047";"G008795";"2002JJ00";"   86645"
"33";"T001038";"T001047";"G008795";"2003JJ00";"   73006"
"34";"T001038";"T001047";"G008795";"2004JJ00";"   63772"
"35";"T001038";"T001047";"G008795";"2005JJ00";"   61133"
"36";"T001038";"T001047";"G008795";"2006JJ00";"   65478"
"37";"T001038";"T001047";"G008795";"2007JJ00";"   77560"
"38";"T001038";"T001047";"G008795";"2008JJ00";"   98934"
"39";"T001038";"T001047";"G008795";"2009JJ00";"   98870"
"40";"T001038";"T001047";"G008795";"2010JJ00";"  104903"
"41";"T001038";"T001047";"G008795";"2011JJ00";"  112926"
"42";"T001038";"T001047";"G008795";"2012JJ00";"  109190"
"43";"T001038";"T001047";"G008795";"2013JJ00";"  113487"
"44";"T001038";"T001047";"G008795";"2014JJ00";"  126209"
"45";"T001038";"T001047";"G008795";"2015JJ00";"  139509"
"46";"T001038";"T001047";"G008795";"2016JJ00";"  156368"
"47";"T001038";"T001047";"G008795";"2017JJ00";"  157475"
"48";"T001038";"T001047";"G008795";"2018JJ00";"  168172"
"49";"T001038";"T001047";"G008795";"2019JJ00";"  187175"
"125";"T001038";"L008793";"G008795";"1995JJ00";"   30712"
"126";"T001038";"L008793";"G008795";"1996JJ00";"   31124"
"127";"T001038";"L008793";"G008795";"1997JJ00";"   29986"
"128";"T001038";"L008793";"G008795";"1998JJ00";"   31968"
"129";"T001038";"L008793";"G008795";"1999JJ00";"   34407"
"130";"T001038";"L008793";"G008795";"2000JJ00";"   40341"
"131";"T001038";"L008793";"G008795";"2001JJ00";"   39427"
"132";"T001038";"L008793";"G008795";"2002JJ00";"   34901"
"133";"T001038";"L008793";"G008795";"2003JJ00";"   30888"
"134";"T001038";"L008793";"G008795";"2004JJ00";"   32408"
"135";"T001038";"L008793";"G008795";"2005JJ00";"   33086"
"136";"T001038";"L008793";"G008795";"2006JJ00";"   37682"
"137";"T001038";"L008793";"G008795";"2007JJ00";"   48627"
"138";"T001038";"L008793";"G008795";"2008JJ00";"   60302"
"139";"T001038";"L008793";"G008795";"2009JJ00";"   57703"
"140";"T001038";"L008793";"G008795";"2010JJ00";"   64479"
"141";"T001038";"L008793";"G008795";"2011JJ00";"   73054"
"142";"T001038";"L008793";"G008795";"2012JJ00";"   73451"
"143";"T001038";"L008793";"G008795";"2013JJ00";"   74950"
"144";"T001038";"L008793";"G008795";"2014JJ00";"   82775"
"145";"T001038";"L008793";"G008795";"2015JJ00";"   84199"
"146";"T001038";"L008793";"G008795";"2016JJ00";"   89965"
"147";"T001038";"L008793";"G008795";"2017JJ00";"   98400"
"148";"T001038";"L008793";"G008795";"2018JJ00";"  107448"
"149";"T001038";"L008793";"G008795";"2019JJ00";"  118905"
"225";"T001038";"L008795";"G008795";"1995JJ00";"   34519"
"226";"T001038";"L008795";"G008795";"1996JJ00";"   43853"
"227";"T001038";"L008795";"G008795";"1997JJ00";"   45138"
"228";"T001038";"L008795";"G008795";"1998JJ00";"   50924"
"229";"T001038";"L008795";"G008795";"1999JJ00";"   46664"
